"Cron jobs","Tarefas cron"
"Cron jobs report","Relatório das tarefas cron"
"History lifetime","Tempo de vida do histórico"
"Replaces the history lifetime of the cron jobs (see {{System &gt; Cron}}).","Substitui o tempo de vida do histórico das tarefas cron (ver {{Sistema &gt; Cron}})."
"Number of jobs per page","Número de tarefas por página"
"Use a text filter","Usar um filtro letra"
"Number of jobs","Número de tarefas"
"Table size","Medida da mesa"
"Email reports","Relatórios por e-mail"
"Separate addresses by a space.","Separar os endereços por um espaço."
"Disabled when you are using <strong>cronlog</strong> module lifetime (see {{Cron jobs &gt; Lifetime}}).","Desativado se usar o tempo de vida do módulo <strong lang=""en"">cronlog</strong> (ver {{Tarefas cron &gt; Tempo de vida}})."
"Cron jobs / Tools / Magento Admin","Tarefas cron / Ferramentas / Administração Magento"
"Manage cron jobs","Gerenciar as tarefas cron"
"Module name","Nome do módulo"
"Editable job","Tarefa editável"
" Enabled","Ativada"
" Disabled","Desativada"
"Read-only job","Tarefa para somente leitura"
"New cron job","Nova tarefa cron"
"Job","Tarefa"
"Scheduled into","Programada em"
"%d minute","%d minuto"
"%d minutes","%d minutos"
"Duration","Duração"
"Running","Em andamento"
"Missed","Perdida"
" Created At","Criada a"
" Scheduled At","Programada a"
" Executed At","Executada a"
" Finished At","Completada a"
" Error","Erro"
" Success","Completada"
"Cron job number %d - %s","Tarefa cron número %d - %s"
"Restart the job","Relançar a tarefa"
"Duration: %s","Duração: %s"
"Status: <span>%s</span>","Estado: <span>%s</span>"
"Code: %s","Código: %s"
" Created At: %s","Criada a: %s"
" Scheduled At: %s","Programada a: %s"
" Executed At: %s","Executada a: %s"
" Finished At: %s","Completada a: %s"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"Job %d: %s","Tarefa %d: %s"
"Status: %s (%s)","Estado: %s (<span lang=""en"">%s</span>)"
"Can not send the report by email to %s.","Impossível enviar o relatório por e-mail a %s."
" monthly","mensal"
" weekly","semanal"
" daily","diário"
"Recent jobs","Tarefas recentes"
"All jobs","Todas as tarefas"
"%d days","%d dias"
"%d days (%d weeks)","%d dias (%d semanas)"
"%d days (%d month)","%d dias (%d mês)"
"%d days (%d months)","%d dias (%d meses)"
"The <em>%s</em> field is a required field.","O campo <em>%s</em> é um campo obrigatório."
"Job <strong>%s</strong> has been successfully <strong>enabled</strong>.","A tarefa <strong>%s</strong> foi bem <strong>ativada</strong>."
"Job <strong>%s</strong> has been successfully <strong>disabled</strong>.","A tarefa <strong>%s</strong> foi bem <strong>desativada</strong>."
"Job number %d has been successfully scheduled.","A tarefa número %d foi bem programada."
"Job number %d has been successfully canceled.","A tarefa número %d foi bem anulada."
"Job number %d has been successfully deleted.","A tarefa número %d foi bem suprimida."
